year,state_po,party,candidatevotes
2000,CO,democrat,1145
2000,CO,republican,1078
2000,CO,democrat,149
2000,CO,republican,210
2000,CO,democrat,1598
2000,CO,republican,1043
2000,CO,democrat,384
2000,CO,republican,877
2000,CO,democrat,5304
2000,CO,republican,4497
2000,CO,democrat,2750
2000,CO,republican,6477
2000,CO,democrat,477
2000,CO,republican,1878
2000,CO,democrat,23436
2000,CO,republican,37409
2000,CO,democrat,1082
2000,CO,republican,3156
2000,CT,democrat,193769
2000,CT,republican,159659
2000,CT,democrat,221167
2000,CT,republican,127468
2000,CT,democrat,41806
2000,CT,republican,39172
2000,CT,democrat,43319
2000,CT,republican,29295
2000,CT,democrat,197928
2000,CT,republican,122919
2000,CT,democrat,60449
2000,CT,republican,41168
2000,CT,democrat,33554
2000,CT,republican,24705
2000,CT,democrat,24023
2000,CT,republican,16708
2000,DE,democrat,22790
2000,DE,republican,24081
2000,DE,democrat,127539
2000,DE,republican,78587
2000,DE,democrat,29739
2000,DE,republican,34620
2000,DC,democrat,171923
2000,DC,republican,18073
2000,FL,democrat,47365
2000,FL,republican,34124
2000,FL,democrat,2392
2000,FL,republican,5610
2000,FL,democrat,18850
2000,FL,republican,38637
2000,FL,democrat,3075
2000,FL,republican,5414
2000,FL,democrat,97318
2000,FL,republican,115185
2000,FL,democrat,387703
2000,FL,republican,177902
2000,FL,democrat,2155
2000,FL,republican,2873
2000,FL,democrat,29645
2000,FL,republican,35426
2000,FL,democrat,25525
2000,FL,republican,29767
2000,FL,democrat,14632
2000,FL,republican,41736
2000,FL,democrat,29921
2000,FL,republican,60450
2000,FL,democrat,7047
2000,FL,republican,10964
2000,FL,democrat,3320
2000,FL,republican,4256
2000,FL,democrat,1826
2000,FL,republican,2697
2000,FL,democrat,107864
2000,FL,republican,152098
2000,FL,democrat,40943
2000,FL,republican,73017
2000,FL,democrat,13897
2000,FL,republican,12613
2000,FL,democrat,2046
2000,FL,republican,2454
2000,FL,democrat,9735
2000,FL,republican,4767
2000,FL,democrat,1910
2000,FL,republican,3300
2000,FL,democrat,1442
2000,FL,republican,1841
2000,FL,democrat,2397
2000,FL,republican,3550
2000,FL,democrat,1722
2000,FL,republican,2146
2000,FL,democrat,2339
2000,FL,republican,3765
2000,FL,democrat,3240
2000,FL,republican,4747
2000,FL,democrat,32644
2000,FL,republican,30646
2000,FL,democrat,14167
2000,FL,republican,20206
2000,FL,democrat,169557
2000,FL,republican,180760
2000,FL,democrat,2177
2000,FL,republican,5011
2000,FL,democrat,19768
2000,FL,republican,28635
2000,FL,democrat,6868
2000,FL,republican,9138
2000,FL,democrat,3041
2000,FL,republican,2478
2000,FL,democrat,789
2000,FL,republican,1670
2000,FL,democrat,36571
2000,FL,republican,50010
2000,FL,democrat,73560
2000,FL,republican,106141
2000,FL,democrat,61427
2000,FL,republican,39062
2000,FL,democrat,5398
2000,FL,republican,6858
2000,FL,democrat,1017
2000,FL,republican,1317
2000,FL,democrat,3014
2000,FL,republican,3038
2000,FL,democrat,49177
2000,FL,republican,57952
2000,FL,democrat,44665
2000,FL,republican,55141
2000,FL,democrat,26620
2000,FL,republican,33970
2000,FL,democrat,328808
2000,FL,republican,289533
2000,FL,democrat,16483
2000,FL,republican,16059
2000,FL,democrat,6952
2000,FL,republican,16404
2000,FL,democrat,16948
2000,FL,republican,52093
2000,FL,democrat,4588
2000,FL,republican,5057
2000,FL,democrat,140220
2000,FL,republican,134517
2000,FL,democrat,28181
2000,FL,republican,26212
2000,FL,democrat,269732
2000,FL,republican,152951
2000,FL,democrat,69564
2000,FL,republican,68582
2000,FL,democrat,200630
2000,FL,republican,184825
2000,FL,democrat,75200
2000,FL,republican,90295
2000,FL,democrat,12102
2000,FL,republican,13447
2000,FL,democrat,19502
2000,FL,republican,39546
2000,FL,democrat,41559
2000,FL,republican,34705
2000,FL,democrat,12802
2000,FL,republican,36274
2000,FL,democrat,72853
2000,FL,republican,83100
2000,FL,democrat,59174
2000,FL,republican,75677
2000,FL,democrat,9637
2000,FL,republican,12127
2000,FL,democrat,4075
2000,FL,republican,8006
2000,FL,democrat,2649
2000,FL,republican,4056
2000,FL,democrat,1407
2000,FL,republican,2332
2000,FL,democrat,97304
2000,FL,republican,82357
2000,FL,democrat,3838
2000,FL,republican,4512
2000,FL,democrat,5642
2000,FL,republican,12182
2000,FL,democrat,2798
2000,FL,republican,4994
2000,GA,democrat,2093
2000,GA,republican,3940
2000,GA,democrat,821
2000,GA,republican,1228
2000,GA,democrat,956
2000,GA,republican,2010
2000,GA,democrat,893
2000,GA,republican,615
2000,GA,democrat,5893
2000,GA,republican,6041
2000,GA,democrat,1220
2000,GA,republican,3202
2000,GA,democrat,3657
2000,GA,republican,7925
2000,GA,democrat,7508
2000,GA,republican,14720
2000,GA,democrat,2234
2000,GA,republican,2381
2000,GA,democrat,1640
2000,GA,republican,2718
2000,GA,democrat,24996
2000,GA,republican,24071
2000,GA,democrat,1273
2000,GA,republican,2436
2000,GA,democrat,1372
2000,GA,republican,3118
2000,GA,democrat,2096
2000,GA,republican,2406
2000,GA,democrat,2172
2000,GA,republican,4835
2000,GA,democrat,5561
2000,GA,republican,8990
2000,GA,democrat,3720
2000,GA,republican,3381
2000,GA,democrat,2281
2000,GA,republican,3198
2000,GA,democrat,1107
2000,GA,republican,768
2000,GA,democrat,3636
2000,GA,republican,6371
2000,GA,democrat,1053
2000,GA,republican,1643
2000,GA,democrat,8752
2000,GA,republican,16326
2000,GA,democrat,5470
2000,GA,republican,12033
2000,GA,democrat,1015
2000,GA,republican,1770
2000,GA,democrat,37590
2000,GA,republican,37847
2000,GA,democrat,600
2000,GA,republican,590
2000,GA,democrat,2729
2000,GA,republican,3640
2000,GA,democrat,12295
2000,GA,republican,38033
2000,GA,democrat,15167
2000,GA,republican,11850
2000,GA,democrat,821
2000,GA,republican,448
2000,GA,democrat,40042
2000,GA,republican,19966
2000,GA,democrat,816
2000,GA,republican,1091
2000,GA,democrat,86676
2000,GA,republican,140494
2000,GA,democrat,3593
2000,GA,republican,5756
2000,GA,democrat,3297
2000,GA,republican,6589
2000,GA,democrat,8969
2000,GA,republican,26660
2000,GA,democrat,1639
2000,GA,republican,2279
2000,GA,democrat,9056
2000,GA,republican,21327
2000,GA,democrat,1513
2000,GA,republican,1987
2000,GA,democrat,2268
2000,GA,republican,3285
2000,GA,democrat,1628
2000,GA,republican,3333
2000,GA,democrat,1458
2000,GA,republican,4210
2000,GA,democrat,3398
2000,GA,republican,4187
2000,GA,democrat,154509
2000,GA,republican,58807
2000,GA,democrat,2326
2000,GA,republican,3472
2000,GA,democrat,1901
2000,GA,republican,1588
2000,GA,democrat,16650
2000,GA,republican,12248
2000,GA,democrat,11162
2000,GA,republican,18893
2000,GA,democrat,1622
2000,GA,republican,1938
2000,GA,democrat,272
2000,GA,republican,614
2000,GA,democrat,3232
2000,GA,republican,7326
2000,GA,democrat,2527
2000,GA,republican,3262
2000,GA,democrat,2835
2000,GA,republican,3343
2000,GA,democrat,1217
2000,GA,republican,1841
2000,GA,democrat,2736
2000,GA,republican,5463
2000,GA,democrat,11912
2000,GA,republican,29338
2000,GA,democrat,10282
2000,GA,republican,16194
2000,GA,democrat,6694
2000,GA,republican,27769
2000,GA,democrat,2040
2000,GA,republican,3659
2000,GA,democrat,152039
2000,GA,republican,104870
2000,GA,democrat,2230
2000,GA,republican,4941
2000,GA,democrat,249
2000,GA,republican,763
2000,GA,democrat,7778
2000,GA,republican,14346
2000,GA,democrat,4032
2000,GA,republican,7944
2000,GA,democrat,2721
2000,GA,republican,3894
2000,GA,democrat,2137
2000,GA,republican,2980
2000,GA,democrat,61434
2000,GA,republican,121756
2000,GA,democrat,2530
2000,GA,republican,6964
2000,GA,democrat,10259
2000,GA,republican,26841
2000,GA,democrat,2414
2000,GA,republican,662
2000,GA,democrat,2869
2000,GA,republican,5153
2000,GA,democrat,2912
2000,GA,republican,5554
2000,GA,democrat,3192
2000,GA,republican,4242
2000,GA,democrat,1178
2000,GA,republican,1947
2000,GA,democrat,11971
2000,GA,republican,25815
2000,GA,democrat,13301
2000,GA,republican,23174
2000,GA,democrat,1105
2000,GA,republican,1720
2000,GA,democrat,3420
2000,GA,republican,7878
2000,GA,democrat,1558
2000,GA,republican,2298
2000,GA,democrat,1379
2000,GA,republican,2797
2000,GA,democrat,2973
2000,GA,republican,2559
2000,GA,democrat,1250
2000,GA,republican,1317
2000,GA,democrat,1065
2000,GA,republican,1797
2000,GA,democrat,3102
2000,GA,republican,4850
2000,GA,democrat,2194
2000,GA,republican,2912
2000,GA,democrat,832
2000,GA,republican,1048
